location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Burundi,Africa,99.65700000000001,1.682,0.168,0.0,1.11,66.297,386.38199999999995,94.9755,0.22500000000000003,0.535,0.885,0.015,14.81,11890781.0,423.06199999999995,702.225,61.58,0.433,72.2675
Cambodia,Asia,26.258000000000003,0.12,18.5785,0.209,0.83,47.9835,135.3005,30.878500000000003,0.20299999999999999,0.355,0.355,0.025,50.93,16718971.0,90.67200000000001,3645.07,69.82,0.594,37.31
Cameroon,Africa,1055.155,0.0,17.14,0.0,0.51,47.9835,111.044,246.27675,0.036000000000000004,0.049999999999999996,0.56,0.05500000000000001,35.19,26545864.0,50.885,3364.926,59.29,0.563,5.9399999999999995
Canada,North America,18765.833,162.259,476.337,3.6830000000000003,0.9,23.343000000000004,118.965,526.203,0.055999999999999994,1.44,1.39,0.06,75.46,37742157.0,4.037,44017.59099999999,82.43,0.929,7.88
Cape Verde,Africa,23203.737999999998,134.895,214.033,0.0,1.15,35.682,98.129,972.32325,0.036,2.7325,2.6475,0.38999999999999996,64.81,555988.0,135.58,6222.554,72.98,0.665,15.86
Cayman Islands,North America,89729.6505,486.856,1231.303,0.0,0.92,35.682,98.129,1156.5347499999998,0.0865,2.495,6.43,0.39,45.605000000000004,65720.0,256.496,49903.029,83.92,0.8935,9.56
Central African Republic,Africa,1029.657,0.0,13.044,0.0,0.24,21.776999999999997,183.02650000000003,171.0025,0.0665,1.175,1.735,0.38,22.22,4829764.0,7.479,661.24,53.28,0.397,18.505000000000003
Chad,Africa,173.81099999999998,2.374,6.757999999999999,0.0,1.09,47.9835,135.3005,177.846,0.1175,0.355,0.355,0.025,74.07,16425859.0,11.833,1768.1529999999998,54.24,0.39799999999999996,37.31
Chile,South America,34813.022000000004,212.804,912.053,3.3480000000000003,1.14,47.9835,135.3005,376.27099999999996,0.075,0.12,0.07,0.04,79.17,19116209.0,24.281999999999996,22767.037,80.18,0.851,32.18
China,Asia,61.32899999999999,0.055999999999999994,3.22,0.0,1.1,69.94149999999999,453.502,498.31949999999995,0.072,1.04,0.055,0.51,78.24,1439323774.0,147.674,15308.712,76.91,0.7609999999999999,39.86
Colombia,South America,37164.442,296.22900000000004,948.3739999999999,7.212999999999999,1.07,12.030750000000001,266.7865,177.76,0.27399999999999997,0.3225,0.2925,0.1,81.02,50882884.0,44.223,13254.948999999999,77.29,0.767,71.67
Comoros,Africa,1813.4879999999998,63.248000000000005,47.148,3.45,1.03,35.682,173.893,698.2215000000001,0.0125,1.035,1.035,0.32,66.665,869595.0,437.352,1413.89,64.32,0.5539999999999999,15.77
Congo,Africa,1397.0410000000002,0.0,20.659000000000002,0.0,0.41,13.831000000000001,25.253,525.4794999999999,0.0245,0.9775,1.5875,0.0975,43.52,5518092.0,15.405,4881.406,64.57,0.574,-2.015
Costa Rica,North America,36156.827000000005,150.173,474.273,2.748,0.96,27.118499999999997,466.3355,92.35700000000001,0.282,0.49,0.49,0.0,63.89,5094114.0,96.079,15524.995,80.28,0.81,6.385
Cote d'Ivoire,Africa,942.291,7.961,5.345,0.0,1.29,47.9835,258.8655,11.2745,0.07200000000000001,0.049999999999999996,0.049999999999999996,0.05500000000000001,17.59,26378275.0,76.399,3601.006,57.78,0.5379999999999999,74.16000000000001
Croatia,Europe,54704.102,156.628,1117.588,7.795,0.77,64.79650000000001,428.961,271.324,0.12300000000000001,0.93,0.84,0.29,56.48,4105268.0,73.726,22669.797000000002,78.49,0.851,7.84
Cuba,North America,1545.122,38.052,14.655999999999999,0.177,1.32,68.11800000000001,429.88,149.184,0.034,0.555,0.555,0.0675,78.7,11326616.0,110.40799999999999,6251.234999999999,78.8,0.7829999999999999,44.9475
Cyprus,Europe,32444.637000000002,200.449,188.062,2.252,0.73,39.414,207.206,1369.9620000000002,0.023,1.15,1.15,0.43,84.26,888005.0,127.65700000000001,32415.132,80.98,0.887,4.23
Czechia,Europe,82538.75099999999,768.327,1327.39,14.661,0.92,101.87700000000001,605.286,496.70099999999996,0.16399999999999998,1.11,1.11,0.08,73.15,10708982.0,137.17600000000002,32605.906000000003,79.38,0.9,57.16
