country,population,continent,gdp,tfr,cmu,life_exp
Afghanistan,36373176,asia,1867.0,4.33,65.92399999999999,58.69
Albania,2934363,europe,12424.0,1.71,12.913,78.01
Algeria,42008054,africa,13726.0,2.64,23.096,77.86
Angola,30774205,africa,5846.0,5.55,81.638,65.19
Antigua and Barbuda,103050,americas,21035.0,2.03,7.894,77.6
Argentina,44688864,americas,18942.0,2.26,10.62,76.97
Armenia,2934152,europe,8662.0,1.6,12.92,75.97
Australia,24772247,asia,45783.0,1.83,3.398,82.87
Austria,8751820,europe,44645.0,1.52,2.891,81.84
