country,tfr,continent,population,life_exp,gdp,cmr
Palestine,4.42,asia,4060000.0,73.9,2350.0,23.3
Panama,2.62,americas,3640000.0,78.2,8080.0,19.9
Papua New Guinea,3.99,asia,7310000.0,56.3,1950.0,58.2
Paraguay,2.73,americas,6250000.0,74.6,4360.0,26.0
Peru,2.55,americas,29000000.0,77.5,5080.0,20.1
Philippines,3.16,asia,94000000.0,69.2,2220.0,32.0
Poland,1.37,europe,38300000.0,76.4,12600.0,5.98
Portugal,1.33,europe,10600000.0,80.0,22500.0,3.87
Qatar,2.07,asia,1860000.0,78.0,67400.0,9.0
Romania,1.47,europe,20500000.0,73.7,8210.0,11.5
Russia,1.57,europe,143000000.0,68.1,10700.0,10.3
Rwanda,4.52,africa,10000000.0,64.3,612.0,63.5
Samoa,4.34,asia,186000.0,72.5,3570.0,18.7
Sao Tome and Principe,4.79,africa,180000.0,68.9,1090.0,45.4
Saudi Arabia,2.96,asia,27400000.0,74.8,19300.0,12.1
Senegal,5.06,africa,12700000.0,65.9,1280.0,66.4
Serbia,1.58,europe,8990000.0,74.4,5740.0,7.61
Seychelles,2.36,africa,91300.0,73.2,10800.0,14.1
Sierra Leone,5.2,africa,6420000.0,55.4,402.0,163.0
Singapore,1.26,asia,5130000.0,83.2,47200.0,2.81
Slovak Republic,1.36,europe,5400000.0,75.6,16700.0,6.97
Slovenia,1.52,europe,2040000.0,79.5,23500.0,3.21
Solomon Islands,4.24,asia,528000.0,61.7,1290.0,25.7
South Africa,2.59,africa,51200000.0,56.1,7330.0,52.5
South Korea,1.19,asia,49500000.0,80.6,23100.0,4.13
South Sudan,5.38,africa,9510000.0,57.8,1540.0,109.0
Spain,1.37,europe,46900000.0,82.0,30500.0,3.85
Sri Lanka,2.2,asia,20300000.0,74.7,2800.0,11.6
St. Lucia,1.54,americas,174000.0,75.6,8540.0,18.6
St. Vincent and the Grenadines,2.07,americas,108000.0,72.9,6290.0,20.9
Sudan,4.88,africa,34500000.0,67.7,1400.0,75.9
Suriname,2.52,americas,529000.0,71.4,8260.0,24.7
Sweden,1.99,europe,9390000.0,81.5,52900.0,3.06
Switzerland,1.5,europe,7810000.0,82.5,74600.0,4.55
Tajikistan,3.51,asia,7530000.0,69.8,750.0,43.2
Tanzania,5.43,africa,44300000.0,60.9,743.0,72.3
Thailand,1.55,asia,67200000.0,77.0,5080.0,13.3
Timor-Leste,6.23,asia,1090000.0,70.0,806.0,62.3
Togo,4.87,africa,6420000.0,59.2,534.0,89.6
Tonga,3.91,asia,104000.0,71.0,3550.0,17.4
Trinidad and Tobago,1.81,americas,1330000.0,73.6,16700.0,23.4
Tunisia,2.14,africa,10600000.0,77.0,4140.0,18.4
Turkey,2.16,europe,72300000.0,77.6,10700.0,17.3
Turkmenistan,2.83,asia,5090000.0,69.6,4440.0,59.9
Uganda,6.15,africa,32400000.0,59.1,816.0,77.4
Ukraine,1.45,europe,45800000.0,70.8,2970.0,11.7
United Arab Emirates,1.87,asia,8550000.0,72.9,33900.0,8.48
United Kingdom,1.89,europe,63500000.0,80.4,39400.0,5.16
United States,1.93,americas,309000000.0,78.7,48500.0,7.33
Uruguay,2.08,americas,3360000.0,76.4,12000.0,10.7
Uzbekistan,2.44,asia,28500000.0,68.8,1630.0,36.4
Vanuatu,3.5,asia,236000.0,64.0,2970.0,29.4
Venezuela,2.47,americas,28400000.0,75.3,13800.0,17.0
Vietnam,1.95,asia,88000000.0,73.5,1320.0,23.1
Yemen,4.67,asia,23200000.0,68.0,1330.0,56.0
Zambia,5.4,africa,13600000.0,56.0,1490.0,80.3
Zimbabwe,4.03,africa,12700000.0,49.7,948.0,86.3
