country,tfr,continent,population,life_exp,gdp,cmr
Afghanistan,4.18,asia,38000000.0,64.1,571.0,60.1
Albania,1.7,europe,2880000.0,78.5,5210.0,8.68
Algeria,2.59,africa,43100000.0,78.1,4710.0,22.8
Angola,5.48,africa,31800000.0,65.0,3100.0,74.5
Antigua and Barbuda,2.02,americas,97100.0,77.3,15700.0,6.25
Argentina,2.25,americas,44800000.0,77.0,9730.0,9.66
Armenia,1.59,europe,2960000.0,75.9,4730.0,12.1
Australia,1.82,asia,25200000.0,82.7,57100.0,3.59
Austria,1.53,europe,8960000.0,82.0,50700.0,3.37
Azerbaijan,2.02,europe,10000000.0,71.1,5880.0,20.7
Bahamas,1.74,americas,389000.0,74.1,27500.0,9.88
Bahrain,1.96,asia,1640000.0,79.8,20900.0,6.89
Bangladesh,2.02,asia,163000000.0,73.7,1290.0,28.9
Barbados,1.8,americas,287000.0,77.3,16100.0,11.9
Belarus,1.72,europe,9450000.0,74.5,6680.0,3.35
Belgium,1.8,europe,11500000.0,81.7,47500.0,3.51
Belize,2.41,americas,390000.0,74.4,4150.0,12.7
Benin,4.77,africa,11800000.0,65.3,1260.0,90.9
Bolivia,2.77,americas,11500000.0,73.3,2580.0,26.1
Bosnia and Herzegovina,1.41,europe,3300000.0,77.0,6240.0,5.66
Botswana,2.6,africa,2300000.0,69.8,8090.0,35.6
Brazil,1.69,americas,211000000.0,75.9,11100.0,13.9
Brunei,1.84,asia,433000.0,75.6,32300.0,11.3
Bulgaria,1.6,europe,7000000.0,75.1,9030.0,6.76
Burkina Faso,5.11,africa,20300000.0,62.5,822.0,74.0
Burundi,5.45,africa,11500000.0,62.3,208.0,56.7
Cambodia,2.47,asia,16500000.0,70.4,1270.0,27.0
Cameroon,4.51,africa,25900000.0,63.8,1520.0,73.9
Canada,1.56,americas,37400000.0,82.2,51600.0,4.94
Cape Verde,2.24,africa,550000.0,76.2,3910.0,18.8
Central African Republic,4.65,africa,4750000.0,52.9,384.0,113.0
Chad,5.65,africa,15900000.0,60.6,814.0,117.0
Chile,1.75,americas,19000000.0,80.0,15100.0,7.03
China,1.64,asia,1430000000.0,77.5,8250.0,8.34
Colombia,1.8,americas,50300000.0,80.5,7840.0,13.8
