country,tfr,continent,population,life_exp,gdp,cmr
Comoros,4.14,africa,851000.0,69.1,1410.0,66.2
"Congo, Dem. Rep.",5.82,africa,86800000.0,63.0,424.0,86.2
"Congo, Rep.",4.48,africa,5380000.0,63.3,2610.0,48.7
Costa Rica,1.74,americas,5050000.0,79.8,10000.0,8.47
Cote d'Ivoire,4.72,africa,25700000.0,63.3,1740.0,78.9
Croatia,1.44,europe,4130000.0,78.8,16500.0,4.57
Cyprus,1.33,europe,1200000.0,82.0,32100.0,2.3
Denmark,1.77,europe,5770000.0,81.0,65100.0,4.1
Dominican Republic,2.34,americas,10700000.0,73.5,8010.0,28.3
Ecuador,2.41,americas,17400000.0,77.2,5100.0,13.9
Egypt,3.1,africa,100000000.0,71.0,3010.0,20.5
El Salvador,2.02,americas,6450000.0,74.5,3570.0,13.1
Equatorial Guinea,4.43,africa,1360000.0,66.3,9240.0,83.1
Estonia,1.67,europe,1330000.0,78.5,20700.0,2.5
Ethiopia,3.86,africa,112000000.0,69.1,602.0,53.0
Fiji,2.45,asia,890000.0,68.3,4810.0,25.3
Finland,1.78,europe,5530000.0,81.8,49200.0,1.63
France,1.97,europe,65100000.0,83.1,44300.0,3.94
Gabon,3.59,africa,2170000.0,69.0,9130.0,43.5
Gambia,5.22,africa,2350000.0,66.4,809.0,56.8
Georgia,1.97,europe,4000000.0,73.2,4990.0,9.37
Germany,1.48,europe,83500000.0,80.9,47600.0,3.46
Ghana,3.81,africa,30400000.0,66.1,1880.0,46.2
Greece,1.3,europe,10500000.0,81.3,24000.0,4.37
Grenada,2.04,americas,112000.0,74.1,9330.0,15.2
Guatemala,2.82,americas,17600000.0,73.1,3410.0,25.2
Guinea,4.62,africa,12800000.0,61.6,921.0,97.3
Guinea-Bissau,4.41,africa,1920000.0,60.7,635.0,79.1
Guyana,2.44,americas,783000.0,69.5,4160.0,29.3
Haiti,2.77,americas,11300000.0,65.7,714.0,63.1
Honduras,2.35,americas,9750000.0,74.3,2240.0,17.1
Hungary,1.41,europe,9680000.0,77.2,17500.0,4.12
Iceland,1.91,europe,339000.0,83.0,51300.0,1.92
India,2.26,asia,1370000000.0,69.5,2170.0,35.2
Indonesia,2.29,asia,271000000.0,71.9,4450.0,24.1
Iraq,4.19,asia,39300000.0,77.1,5590.0,25.9
Ireland,1.98,europe,4880000.0,82.3,79700.0,3.42
Israel,2.89,asia,8520000.0,83.3,35300.0,3.58
Italy,1.51,europe,60600000.0,83.5,35600.0,2.93
Jamaica,1.97,americas,2950000.0,74.9,4870.0,14.1
Japan,1.5,asia,127000000.0,84.5,49200.0,2.41
Jordan,3.18,asia,10100000.0,79.6,3280.0,15.7
Kazakhstan,2.54,asia,18600000.0,72.8,11500.0,9.28
Kenya,3.68,africa,52600000.0,66.7,1240.0,39.8
Kiribati,3.53,asia,118000.0,62.9,1790.0,51.0
Kuwait,1.94,asia,4210000.0,83.3,32700.0,7.63
Kyrgyz Republic,2.86,asia,6420000.0,73.0,1120.0,18.4
Lao,2.54,asia,7170000.0,68.2,1840.0,45.5
Latvia,1.59,europe,1910000.0,75.4,16700.0,3.74
Lebanon,1.7,asia,6860000.0,78.1,5860.0,7.39
Lesotho,2.95,africa,2130000.0,56.1,1380.0,78.5
Liberia,4.38,africa,4940000.0,65.2,516.0,69.0
Libya,2.16,africa,6780000.0,73.3,8120.0,11.6
Lithuania,1.68,europe,2760000.0,75.4,18400.0,3.95
Luxembourg,1.61,europe,616000.0,82.0,111000.0,2.36
Madagascar,4.02,africa,27000000.0,64.2,500.0,51.1
Malawi,4.38,africa,18600000.0,64.2,524.0,47.3
Malaysia,1.98,asia,31900000.0,75.0,12500.0,7.58
Maldives,1.98,asia,531000.0,82.1,8210.0,8.24
Mali,5.79,africa,19700000.0,62.9,793.0,95.0
Malta,1.49,europe,440000.0,81.3,28900.0,6.81
Mauritania,4.49,africa,4530000.0,71.0,1760.0,73.8
Mauritius,1.42,africa,1270000.0,75.0,10900.0,15.1
Mexico,2.09,americas,128000000.0,75.6,10300.0,12.5
Moldova,1.23,europe,4040000.0,73.1,3720.0,15.3
Mongolia,2.63,asia,3230000.0,69.3,4350.0,15.7
Montenegro,1.65,europe,628000.0,76.7,8550.0,2.45
Morocco,2.38,africa,36500000.0,74.4,3400.0,21.5
Mozambique,5.05,africa,30400000.0,59.9,587.0,70.6
Myanmar,2.15,asia,54000000.0,69.1,1610.0,44.9
Namibia,3.24,africa,2490000.0,67.2,5770.0,38.2
Nepal,2.02,asia,28600000.0,71.5,859.0,31.0
Netherlands,1.75,europe,17100000.0,81.8,55700.0,3.68
New Zealand,1.96,asia,4780000.0,81.9,39000.0,5.61
Nicaragua,2.12,americas,6550000.0,79.2,1760.0,17.9
Niger,7.07,africa,23300000.0,63.2,558.0,80.5
Nigeria,5.32,africa,201000000.0,65.2,2390.0,117.0
Norway,1.83,europe,5380000.0,82.6,92600.0,2.45
Oman,2.46,asia,4970000.0,77.6,15000.0,10.9
Pakistan,3.29,asia,217000000.0,67.2,1190.0,67.9
Panama,2.43,americas,4250000.0,79.7,11900.0,14.9
Papua New Guinea,3.52,asia,8780000.0,58.9,2510.0,46.4
Paraguay,2.4,americas,7040000.0,76.4,5310.0,19.8
Peru,2.31,americas,32500000.0,80.8,6490.0,13.9
Philippines,2.84,asia,108000000.0,70.0,3340.0,27.8
Poland,1.29,europe,37900000.0,78.4,17400.0,4.27
Portugal,1.24,europe,10200000.0,81.8,24600.0,3.61
Qatar,1.85,asia,2830000.0,80.5,62000.0,6.66
Romania,1.55,europe,19400000.0,75.4,12100.0,7.07
Russia,1.77,europe,146000000.0,72.5,12000.0,6.81
Rwanda,3.67,africa,12600000.0,69.1,905.0,33.6
Samoa,3.83,asia,197000.0,73.2,3860.0,15.4
Sao Tome and Principe,4.27,africa,215000.0,67.3,1300.0,30.2
Saudi Arabia,2.42,asia,34300000.0,77.1,20500.0,6.75
Senegal,4.55,africa,16300000.0,68.6,1580.0,42.0
Serbia,1.63,europe,8770000.0,76.0,7210.0,5.34
Seychelles,2.23,africa,97700.0,73.8,15000.0,14.2
Sierra Leone,4.17,africa,7810000.0,61.3,488.0,102.0
Singapore,1.27,asia,5800000.0,85.1,58800.0,2.7
Slovak Republic,1.48,europe,5460000.0,77.7,21000.0,5.42
Slovenia,1.65,europe,2080000.0,81.4,27200.0,2.1
Solomon Islands,3.69,asia,670000.0,68.9,1480.0,19.5
South Africa,2.38,africa,58600000.0,66.9,7350.0,32.9
South Korea,1.35,asia,51200000.0,83.0,28600.0,3.03
Spain,1.41,europe,46700000.0,83.3,33300.0,2.93
Sri Lanka,2.01,asia,21300000.0,77.8,4010.0,7.2
St. Lucia,1.43,americas,183000.0,75.8,9350.0,16.3
St. Vincent and the Grenadines,1.87,americas,111000.0,72.5,6850.0,15.9
Sudan,4.35,africa,42800000.0,70.8,1720.0,59.1
Suriname,2.3,americas,581000.0,72.3,7970.0,18.4
Sweden,1.91,europe,10000000.0,82.8,58000.0,2.62
Switzerland,1.56,europe,8590000.0,84.3,79400.0,4.01
Tajikistan,3.22,asia,9320000.0,70.8,1120.0,33.6
Tanzania,4.83,africa,58000000.0,67.7,985.0,51.3
Thailand,1.44,asia,69600000.0,78.6,6500.0,8.77
Timor-Leste,5.17,asia,1290000.0,71.3,860.0,44.2
Togo,4.26,africa,8080000.0,65.0,696.0,68.0
Trinidad and Tobago,1.72,americas,1390000.0,74.5,15100.0,17.9
Tunisia,2.12,africa,11700000.0,78.7,4410.0,16.5
Turkey,2.0,europe,83400000.0,79.5,15000.0,10.1
Uganda,5.32,africa,44300000.0,66.6,957.0,44.6
Ukraine,1.58,europe,44000000.0,70.8,3220.0,8.46
United Arab Emirates,1.7,asia,9770000.0,73.6,41400.0,7.37
United Kingdom,1.87,europe,67500000.0,81.1,43700.0,4.24
United States,1.9,americas,329000000.0,78.6,55700.0,6.58
Uruguay,1.96,americas,3460000.0,77.3,14600.0,7.38
Uzbekistan,2.21,asia,33000000.0,70.7,2460.0,20.8
Vanuatu,3.17,asia,300000.0,65.0,2870.0,25.7
Vietnam,1.94,asia,96500000.0,74.7,2080.0,20.4
Zambia,4.81,africa,17900000.0,64.0,1660.0,56.1
Zimbabwe,3.53,africa,14600000.0,62.0,1180.0,44.4
