country,tfr,continent,population,life_exp,gdp,cmr
Albania,2.16,europe,3130000.0,74.9,2240.0,25.9
Algeria,2.51,africa,31000000.0,74.0,3560.0,39.7
Angola,6.64,africa,16400000.0,51.7,2200.0,206.0
Antigua and Barbuda,2.32,americas,76000.0,74.7,13200.0,15.8
Argentina,2.56,americas,36900000.0,74.2,8220.0,19.6
Armenia,1.3,europe,3070000.0,72.3,1400.0,30.8
Australia,1.76,asia,19000000.0,79.5,44300.0,6.19
Austria,1.37,europe,8070000.0,78.3,42000.0,5.5
Azerbaijan,2.03,europe,8120000.0,66.8,1660.0,75.0
Bahamas,2.07,americas,298000.0,71.5,31600.0,15.7
Bahrain,2.77,asia,665000.0,72.6,23000.0,12.5
Bangladesh,3.12,asia,128000000.0,65.5,525.0,87.3
Barbados,1.74,americas,272000.0,74.8,15600.0,15.2
Belarus,1.24,europe,9870000.0,68.8,2810.0,12.8
Belgium,1.63,europe,10300000.0,77.8,39600.0,5.81
Belize,3.6,americas,247000.0,70.3,3860.0,23.6
Benin,5.96,africa,6870000.0,57.5,950.0,139.0
Bhutan,3.6,asia,591000.0,65.7,1120.0,77.7
Bolivia,4.06,americas,8420000.0,66.5,1600.0,75.3
Bosnia and Herzegovina,1.5,europe,3750000.0,75.3,3020.0,9.84
Botswana,3.39,africa,1640000.0,54.0,5210.0,86.9
Brazil,2.3,americas,175000000.0,71.4,8800.0,34.8
Brunei,2.22,asia,333000.0,73.8,35900.0,10.3
Bulgaria,1.18,europe,8000000.0,71.6,3980.0,17.5
Burkina Faso,6.59,africa,11600000.0,52.4,489.0,179.0
Burundi,7.01,africa,6380000.0,44.9,229.0,156.0
Cambodia,3.81,asia,12200000.0,60.2,431.0,107.0
Cameroon,5.58,africa,15500000.0,54.8,1150.0,149.0
Canada,1.52,americas,30600000.0,79.2,39300.0,6.21
Cape Verde,3.76,africa,428000.0,71.2,2220.0,35.6
Central African Republic,5.5,africa,3640000.0,44.3,423.0,172.0
Chad,7.35,africa,8360000.0,52.1,462.0,186.0
Chile,2.11,americas,15300000.0,76.9,9420.0,10.9
China,1.5,asia,1290000000.0,72.1,1770.0,36.8
Colombia,2.39,americas,39600000.0,74.1,4860.0,25.0
Comoros,5.32,africa,542000.0,61.6,1300.0,102.0
"Congo, Dem. Rep.",6.96,africa,47100000.0,53.8,290.0,161.0
"Congo, Rep.",5.1,africa,3130000.0,52.8,2440.0,114.0
Costa Rica,2.37,americas,3960000.0,77.9,6170.0,13.0
Cote d'Ivoire,5.71,africa,16500000.0,52.3,1360.0,145.0
Croatia,1.44,europe,4430000.0,74.5,10500.0,8.31
Cuba,1.62,americas,11100000.0,76.8,3480.0,8.55
Cyprus,1.72,europe,943000.0,76.8,26700.0,6.62
Denmark,1.77,europe,5340000.0,77.0,55900.0,5.5
Dominican Republic,2.89,americas,8470000.0,73.9,4050.0,40.9
Ecuador,3.03,americas,12700000.0,74.2,3660.0,29.0
Egypt,3.23,africa,68800000.0,68.7,1980.0,46.8
El Salvador,3.02,americas,5890000.0,72.4,2670.0,32.9
Equatorial Guinea,5.83,africa,606000.0,55.6,5560.0,157.0
Eritrea,5.33,africa,2290000.0,53.3,635.0,85.5
Estonia,1.32,europe,1400000.0,71.0,10100.0,10.9
Ethiopia,6.53,africa,66200000.0,50.8,197.0,142.0
Fiji,3.09,asia,811000.0,65.9,3320.0,22.7
Finland,1.73,europe,5190000.0,77.8,40400.0,4.27
France,1.82,europe,59000000.0,79.1,38300.0,5.37
Gabon,4.54,africa,1230000.0,59.3,10200.0,84.7
Gambia,5.95,africa,1320000.0,61.7,833.0,115.0
Georgia,1.61,europe,4360000.0,73.1,1630.0,36.8
Germany,1.35,europe,81400000.0,78.3,37900.0,5.36
Ghana,4.83,africa,19300000.0,59.4,953.0,99.5
Greece,1.32,europe,11100000.0,78.8,23300.0,6.41
Grenada,2.58,americas,103000.0,73.9,6280.0,15.6
Guatemala,4.6,americas,11700000.0,68.0,2570.0,51.7
