country,tfr,continent,population,life_exp,gdp,cmr
Albania,2.98,europe,3290000.0,73.3,1840.0,40.7
Algeria,4.73,africa,25800000.0,71.7,3570.0,49.5
Angola,7.25,africa,11800000.0,47.9,2690.0,223.0
Antigua and Barbuda,2.06,americas,62500.0,74.3,11100.0,28.0
Argentina,2.99,americas,32600000.0,72.4,6250.0,28.6
Armenia,2.54,europe,3540000.0,70.1,1800.0,49.0
Australia,1.88,asia,17000000.0,76.9,35900.0,9.19
Austria,1.46,europe,7720000.0,75.8,33900.0,9.52
Azerbaijan,3.09,europe,7240000.0,67.4,3170.0,95.6
Bahamas,2.64,americas,256000.0,71.1,29700.0,23.5
Bahrain,3.74,asia,496000.0,70.5,17900.0,23.0
Bangladesh,4.55,asia,103000000.0,58.3,411.0,144.0
Barbados,1.74,americas,261000.0,73.8,14400.0,18.1
Belarus,1.9,europe,10200000.0,71.1,3100.0,15.2
Belgium,1.58,europe,10000000.0,76.0,32700.0,10.0
Belize,4.51,americas,188000.0,72.0,2840.0,38.3
Benin,6.74,africa,4980000.0,55.2,834.0,175.0
Bhutan,5.64,asia,531000.0,60.0,768.0,127.0
Bolivia,4.91,americas,6860000.0,60.9,1360.0,121.0
Botswana,4.54,africa,1290000.0,63.5,4130.0,51.3
Brazil,2.81,americas,149000000.0,67.5,7980.0,63.0
Brunei,3.53,asia,259000.0,70.5,37100.0,13.5
Bulgaria,1.77,europe,8840000.0,71.7,4710.0,18.3
Burkina Faso,7.01,africa,8810000.0,50.8,384.0,199.0
Burundi,7.51,africa,5440000.0,48.7,328.0,174.0
Cameroon,6.44,africa,11800000.0,57.7,1340.0,137.0
Canada,1.66,americas,27500000.0,77.3,33700.0,8.25
Cape Verde,5.31,africa,338000.0,70.3,953.0,60.6
Central African Republic,5.81,africa,2810000.0,47.2,489.0,180.0
Chad,7.31,africa,5960000.0,53.4,517.0,212.0
Chile,2.55,americas,13300000.0,73.2,5930.0,19.1
China,2.35,asia,1180000000.0,68.7,729.0,53.7
Colombia,2.99,americas,33100000.0,71.4,4470.0,35.2
Comoros,5.57,africa,412000.0,58.1,1400.0,125.0
"Congo, Dem. Rep.",7.13,africa,34600000.0,53.9,702.0,186.0
"Congo, Rep.",5.35,africa,2360000.0,53.8,2810.0,90.2
Costa Rica,3.17,americas,3120000.0,76.5,4880.0,16.7
Cote d'Ivoire,6.5,africa,11900000.0,54.8,1490.0,155.0
Cuba,1.75,americas,10600000.0,74.8,4220.0,13.4
Cyprus,2.41,europe,767000.0,75.9,20400.0,11.1
Denmark,1.67,europe,5140000.0,75.0,44600.0,8.93
Dominican Republic,3.47,americas,7130000.0,72.0,2700.0,60.2
Ecuador,3.77,americas,10200000.0,72.0,3720.0,53.9
Egypt,4.66,africa,56100000.0,64.4,1560.0,85.8
