location,region,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,population_density,gdp_per_capita,life_expectancy,human_development_index,excess_mortality
Solomon Islands,Oceania,29.116999999999997,0.0,609.6610000000001,6.41575,0.88,7.791,8.654,271.922,0.01925,3.15,2.63,0.52,25.0,686878.0,21.840999999999998,2205.923,73.0,0.5670000000000001,7.285
Somalia,Africa,932.788,0.3465,48.763000000000005,0.0,1.065,18.24175,162.07575000000003,36.2665,0.0465,1.005,0.85,0.155,29.63,15893219.0,23.5,2119.3665,57.4,0.45499999999999996,72.7025
South Africa,Africa,29804.89,155.7865,980.5475,2.0065,1.35,5.28075,36.38075,207.41199999999998,0.1725,3.16,3.16,11.385,50.0,59308690.0,46.754,12294.876,64.13,0.7090000000000001,71.6575
South Korea,Asia,2915.221,10.913,38.883,0.039,1.005,5.28075,42.99325,196.83800000000002,0.02,31.634999999999998,26.435,7.055,50.0,51269183.0,527.967,35938.373999999996,83.03,0.9159999999999999,69.505
South Sudan,Africa,957.9915000000001,0.0,10.274000000000001,0.0,0.485,17.9195,170.93375000000003,124.893,0.16525,0.26,0.24,0.02,25.0,11193729.0,410.755,1569.888,57.85,0.433,63.67
Spain,Europe,80143.99299999999,91.488,1723.8239999999998,0.44900000000000007,1.045,18.735999999999997,67.8005,969.953,0.040999999999999995,73.86500000000001,47.495,28.814999999999998,50.46,46754783.0,93.105,34272.36,83.56,0.904,3.03
Sri Lanka,Asia,10716.449,109.34799999999998,109.4885,2.405,0.905,5.85375,26.689999999999998,177.0385,0.1365,13.45,10.745000000000001,2.7,81.48,21413250.0,341.955,11669.077,76.98,0.782,27.492500000000003
Sudan,Africa,827.927,0.0,62.361,0.0,0.8,5.28075,36.38075,134.30599999999998,0.103,1.23,1.03,0.2,19.44,43849269.0,23.258000000000003,4466.5070000000005,65.31,0.51,14.065000000000001
Suriname,South America,32331.061499999996,407.409,720.2105,11.932,0.97,7.791,8.654,271.922,0.01925,24.8,20.295,4.5,81.48,586634.0,3.612,13767.118999999999,71.68,0.738,7.285
Sweden,Europe,107397.465,0.0,1443.075,0.0,0.605,9.5555,41.2405,1102.464,0.0335,69.605,44.290000000000006,25.305,54.63,10099270.0,24.718000000000004,46949.282999999996,82.8,0.945,-3.7249999999999996
Switzerland,Europe,81010.97,18.8915,1255.5725000000002,0.231,0.66,9.128,29.464000000000002,881.722,0.0155,74.33000000000001,44.614999999999995,28.18,48.15,8654618.0,214.243,57410.166,83.78,0.955,-0.405
Syria,Asia,1424.232,2.114,104.196,0.171,0.98,22.368000000000002,162.07575000000003,88.674,0.2085,0.515,0.495,0.03,47.69,17500657.0,90.4145,5556.529500000001,72.7,0.5670000000000001,72.7025
Taiwan,Asia,559.48,7.348,19.692,0.7769999999999999,0.75,5.85375,26.689999999999998,40.599500000000006,0.0075,5.25,3.8649999999999998,0.14500000000000002,71.3,23816775.0,46.677,2263.5029999999997,80.46,0.46599999999999997,32.7625
Tajikistan,Asia,1395.3129999999999,0.0,9.436,0.0,0.14,17.9195,170.93375000000003,368.62075000000004,0.03475,1.23,1.075,0.15000000000000002,29.63,9537642.0,64.281,2896.913,71.1,0.6679999999999999,63.67
Tanzania,Africa,8.521,0.0,0.35200000000000004,0.0,0.0,5.556,39.63375,674.2955000000001,0.09075,37.9,26.6875,13.582499999999998,11.11,59734213.0,64.699,2683.304,65.46,0.529,62.292500000000004
Thailand,Asia,2914.4635,45.48,21.561500000000002,0.46549999999999997,1.0350000000000001,5.28075,111.37425,109.00550000000001,0.1255,10.03,7.33,2.71,53.7,69799978.0,135.132,16277.671,77.15,0.777,17.57
Timor,Asia,6405.2875,48.921499999999995,14.411,0.0,0.79,7.791,32.80825,166.918,0.11025,8.38,7.87,0.51,63.89,1318442.0,87.176,6570.102,69.5,0.606,28.485
Togo,Africa,1650.01,1.6305,15.2805,0.0,1.1150000000000002,19.45375,199.913,42.047,0.015,4.0200000000000005,3.27,0.75,42.59,8278737.0,143.366,1429.8129999999999,61.04,0.515,63.67
Tokelau,Oceania,56360.02650000001,0.0,1193.9735,0.0,0.9924999999999999,7.791,8.654,1910.6797500000002,0.023,0.0,0.0,30.674999999999997,44.91,1350.0,527.7585,8235.3695,81.86,0.849,-39.25
Tonga,Oceania,9761.258,13.52,58.5235,0.0,0.5,7.791,8.654,1910.6797500000002,0.023,27.12,27.12,16.5425,35.19,105697.0,150.028,5425.621,70.91,0.725,-39.25
Trinidad and Tobago,North America,21048.724,211.148,493.3935,8.575,0.845,11.761750000000001,22.5725,152.49200000000002,0.1995,13.504999999999999,11.985,1.52,74.07,1399491.0,266.88599999999997,28763.071,73.51,0.7959999999999999,29.09
Tunisia,Africa,31582.923,180.351,1158.215,6.6419999999999995,1.1949999999999998,18.24175,162.07575000000003,132.702,0.28800000000000003,12.24,9.030000000000001,3.21,72.22,11818618.0,74.22800000000001,10849.296999999999,76.7,0.74,52.7725
Turkey,Asia,63376.78,69.096,579.9739999999999,0.7945,0.905,18.18475,117.11850000000001,682.4975,0.027000000000000003,43.86,27.225,16.634999999999998,61.11,84339067.0,104.914,25129.341,77.69,0.82,5.047499999999999
Turks and Caicos Islands,North America,114662.4455,0.0,2099.4745,0.0,0.4175,7.791,8.654,1910.6797500000002,0.023,98.43,58.63,39.8,38.89,38718.0,37.312,46594.351,80.22,0.849,-27.495
Tuvalu,Oceania,56360.02650000001,0.0,1193.9735,0.0,0.9924999999999999,7.791,8.654,1910.6797500000002,0.023,30.41,30.41,33.7125,50.93,11792.0,373.06699999999995,3575.1040000000003,67.57,0.849,-39.25
Uganda,Africa,1422.7064999999998,23.972,10.5705,0.49200000000000005,1.245,5.28075,36.38075,27.09,0.151,1.8,14.765,11.33,47.22,45741000.0,213.75900000000001,1697.707,63.37,0.544,65.58500000000001
Ukraine,Europe,52274.274000000005,27.153,1233.3035,1.418,0.7,5.28075,36.38075,241.522,0.055,4.115,3.49,0.63,57.41,43733759.0,77.39,7894.393,72.06,0.779,14.065000000000001
United Arab Emirates,Asia,60963.712499999994,210.861,175.524,0.40399999999999997,1.0350000000000001,5.641500000000001,26.689999999999998,5449.9105,0.009000000000000001,142.24,43.945,23.355,57.175,9890400.0,112.44200000000001,67293.483,77.97,0.89,-2.5949999999999998
